x	y	label	fold	con
-3.332714	-3.222544	normal	2	correctreject
6.244225	-0.213877	normal	2	correctreject
5.361009	-0.875227	normal	2	correctreject
1.284920	-4.332872	normal	2	correctreject
-4.751841	-2.842341	normal	2	correctreject
4.643004	3.210495	normal	2	correctreject
-4.313219	-3.905595	normal	2	correctreject
4.263107	-2.439927	normal	2	correctreject
-3.843991	-2.150259	normal	2	correctreject
4.040575	-4.625076	normal	2	correctreject
-4.445532	-2.430618	normal	2	correctreject
0.411944	-3.550039	normal	2	correctreject
2.718444	-3.514589	normal	2	correctreject
4.440287	-0.339079	normal	2	correctreject
3.466636	-4.906569	normal	2	correctreject
0.513900	-6.065231	normal	2	correctreject
2.878671	-4.190374	normal	2	correctreject
3.940520	-0.424287	normal	2	correctreject
-3.441770	-3.718394	normal	2	correctreject
2.291318	-5.169245	normal	2	correctreject
-1.848794	-2.283435	normal	2	correctreject
-4.419733	-2.759785	normal	2	correctreject
4.916456	2.354135	normal	2	correctreject
5.513982	-0.248920	normal	2	correctreject
1.604924	-3.928358	normal	2	correctreject
5.245201	2.695938	normal	2	correctreject
1.592304	4.135850	normal	2	correctreject
5.924056	1.836233	normal	2	correctreject
5.043308	3.340124	normal	2	correctreject
3.039259	-3.437585	normal	2	correctreject
3.837148	-1.065553	normal	2	correctreject
1.971364	3.535004	normal	2	correctreject
2.245469	3.523847	normal	2	correctreject
5.232951	1.683057	normal	2	correctreject
-4.894473	-2.149975	normal	2	correctreject
-4.970102	-4.614970	normal	2	correctreject
3.440392	3.405411	normal	2	correctreject
-0.456120	-4.620595	normal	2	correctreject
-0.497487	-6.790833	normal	2	correctreject
-5.161915	-2.319264	normal	2	correctreject
3.874816	-1.546498	normal	2	correctreject
-2.350141	-4.690148	normal	2	correctreject
4.519872	1.126036	normal	2	correctreject
-0.320316	-5.994221	normal	2	correctreject
6.384547	2.580027	normal	2	correctreject
1.300826	-3.477948	normal	2	correctreject
1.847348	3.540590	normal	2	correctreject
2.369908	3.590327	normal	2	correctreject
5.829056	-1.729648	normal	2	correctreject
-0.875745	-3.937029	normal	2	correctreject
3.069560	3.855059	normal	2	correctreject
3.682108	4.307015	normal	2	correctreject
-0.724239	-4.916810	normal	2	correctreject
3.559147	-0.968367	normal	2	correctreject
5.103321	-1.255469	normal	2	correctreject
2.932268	4.481291	normal	2	correctreject
-2.079598	-3.139969	normal	2	correctreject
-2.812239	-3.230225	normal	2	correctreject
1.745949	-5.728074	normal	2	correctreject
4.635403	-2.648468	normal	2	correctreject
3.460755	-6.123078	normal	2	correctreject
7.327138	0.509172	normal	2	correctreject
-0.046161	-6.684644	normal	2	correctreject
0.107258	-7.049948	normal	2	correctreject
3.475387	1.766386	normal	2	correctreject
-1.686763	-4.000569	normal	2	correctreject
-4.017247	-4.151371	normal	2	correctreject
-1.199465	-5.312979	normal	3	correctreject
4.879948	2.265846	normal	3	correctreject
4.407270	-1.507371	normal	3	correctreject
3.817602	0.602054	normal	3	correctreject
-4.312044	-3.594830	normal	3	correctreject
2.542976	4.534204	normal	3	correctreject
1.708106	-4.255553	normal	3	correctreject
-3.113527	-2.628194	normal	3	correctreject
-4.526421	-2.513859	normal	3	correctreject
-5.423587	-4.361163	normal	3	correctreject
2.091640	4.079795	normal	3	correctreject
5.800892	-2.368839	normal	3	correctreject
5.708729	-4.088069	normal	3	falsealarm
2.789649	-2.884808	normal	3	correctreject
6.159732	-1.347122	normal	3	correctreject
7.409331	0.286300	normal	3	correctreject
0.008250	-4.172568	normal	3	correctreject
3.865811	-2.983638	normal	3	correctreject
-0.332416	-3.577493	normal	3	correctreject
2.802352	-3.351308	normal	3	correctreject
5.288421	-1.532185	normal	3	correctreject
-3.494364	-4.248228	normal	3	correctreject
-3.580100	-3.674810	normal	3	correctreject
-2.397355	-4.554690	normal	3	correctreject
2.595436	4.173964	normal	3	correctreject
-3.833031	-3.449023	normal	3	correctreject
-5.157145	-3.850666	normal	3	correctreject
6.189578	1.459141	normal	3	correctreject
5.823629	1.742759	normal	3	correctreject
2.939810	-7.051988	normal	3	falsealarm
3.415686	-4.349117	normal	3	correctreject
-1.351817	-3.914745	normal	3	correctreject
-4.357094	-3.980701	normal	3	correctreject
-4.157454	-2.790073	normal	3	correctreject
-4.672514	-3.631329	normal	3	correctreject
1.894335	-4.815112	normal	3	correctreject
0.336191	-5.021837	normal	3	correctreject
0.039583	-3.808319	normal	3	correctreject
-2.396365	-4.618089	normal	3	correctreject
2.346228	1.190319	normal	3	correctreject
2.612717	2.050082	normal	3	correctreject
-1.171950	-6.786009	normal	3	correctreject
-3.482048	-4.530348	normal	3	correctreject
-0.732598	-3.075616	normal	3	correctreject
-1.380612	-4.159833	normal	3	correctreject
-1.066689	-5.168848	normal	3	correctreject
6.390028	-0.239502	normal	3	correctreject
-1.355527	-3.886176	normal	3	correctreject
-2.184870	-5.180110	normal	3	correctreject
4.599012	-3.018149	normal	3	correctreject
4.354352	0.605338	normal	3	correctreject
-3.980960	-2.533718	normal	3	correctreject
-3.584714	-0.904999	normal	3	falsealarm
-0.084474	-5.352455	normal	3	correctreject
4.585070	3.021565	normal	3	correctreject
-3.554490	-2.061180	normal	3	correctreject
4.920162	3.057197	normal	3	correctreject
2.649037	-5.114798	normal	3	correctreject
4.680162	0.548420	normal	3	correctreject
5.587154	0.320114	normal	3	correctreject
5.833627	-0.867167	normal	3	correctreject
2.773240	-2.874818	normal	3	correctreject
0.268585	-2.982396	normal	3	correctreject
4.134174	-3.443223	normal	3	correctreject
-1.917252	-4.702123	normal	3	correctreject
0.373679	-6.139887	normal	3	correctreject
-1.725579	-4.949797	normal	3	correctreject
-1.787784	-10.189402	anomaly	2	hit
-4.027484	-9.019444	anomaly	2	hit
10.278945	-3.458430	anomaly	2	hit
-3.635969	-9.864675	anomaly	2	hit
0.280623	-8.610697	anomaly	2	hit
1.744843	-6.162240	anomaly	2	miss
3.216408	-7.511283	anomaly	2	hit
-1.203184	1.331629	anomaly	2	hit
-6.655090	0.038279	anomaly	2	hit
-5.751003	-3.429266	anomaly	2	miss
-4.934377	-0.033463	anomaly	2	hit
4.070097	7.228917	anomaly	2	hit
-7.032979	2.657849	anomaly	2	hit
-2.823888	5.857331	anomaly	2	hit
-7.354533	-1.374004	anomaly	2	hit
3.435258	6.150555	anomaly	2	hit
-2.434331	-6.546741	anomaly	2	hit
-4.603243	-0.163539	anomaly	2	hit
8.471311	-4.745205	anomaly	2	hit
