x	y	theta
1.000000	1.000000	0.999227
0.969697	1.000000	0.998705
0.939394	1.000000	0.997847
0.909091	1.000000	0.995686
0.878788	1.000000	0.992863
0.848485	1.000000	0.991305
0.818182	1.000000	0.990533
0.787879	1.000000	0.988189
0.757576	1.000000	0.985105
0.727273	1.000000	0.978111
0.696970	1.000000	0.970564
0.666667	1.000000	0.965221
0.636364	1.000000	0.954074
0.606061	1.000000	0.912757
0.575758	1.000000	0.859891
0.545455	1.000000	0.832814
0.515152	1.000000	0.810381
0.484848	1.000000	0.791085
0.484848	0.984848	0.785881
0.454545	0.984848	0.783895
0.424242	0.984848	0.769278
0.393939	0.984848	0.755011
0.363636	0.984848	0.752629
0.333333	0.984848	0.733066
0.303030	0.984848	0.708761
0.272727	0.984848	0.683402
0.272727	0.969697	0.650910
0.242424	0.969697	0.626750
0.242424	0.954545	0.611949
0.242424	0.939394	0.602646
0.242424	0.924242	0.574730
0.242424	0.909091	0.550495
0.242424	0.893939	0.536820
0.242424	0.878788	0.523367
0.242424	0.863636	0.519403
0.212121	0.863636	0.517406
0.212121	0.848485	0.516349
0.181818	0.848485	0.503377
0.181818	0.833333	0.489235
0.181818	0.818182	0.481444
0.181818	0.803030	0.465278
0.151515	0.803030	0.450401
0.151515	0.787879	0.440453
0.151515	0.772727	0.430039
0.151515	0.757576	0.424672
0.151515	0.742424	0.418012
0.151515	0.727273	0.408262
0.151515	0.712121	0.401934
0.151515	0.696970	0.396291
0.121212	0.696970	0.392184
0.121212	0.681818	0.390283
0.121212	0.666667	0.387961
0.121212	0.651515	0.384027
0.121212	0.636364	0.377638
0.090909	0.636364	0.373640
0.090909	0.621212	0.371943
0.060606	0.621212	0.365818
0.030303	0.621212	0.360694
0.030303	0.606061	0.359542
0.030303	0.590909	0.355875
0.030303	0.575758	0.351050
0.030303	0.560606	0.346237
0.000000	0.560606	0.342972
0.000000	0.545455	0.340777
0.000000	0.530303	0.336395
0.000000	0.515152	0.331290
0.000000	0.500000	0.327633
0.000000	0.484848	0.324952
0.000000	0.469697	0.322101
0.000000	0.454545	0.321017
0.000000	0.439394	0.320812
0.000000	0.424242	0.317656
0.000000	0.409091	0.314494
0.000000	0.393939	0.313130
0.000000	0.378788	0.311155
0.000000	0.363636	0.310201
0.000000	0.348485	0.308323
0.000000	0.333333	0.305907
0.000000	0.318182	0.303855
0.000000	0.303030	0.302507
0.000000	0.287879	0.302421
0.000000	0.272727	0.301146
0.000000	0.257576	0.298468
0.000000	0.242424	0.294372
0.000000	0.227273	0.291570
0.000000	0.212121	0.288265
0.000000	0.196970	0.284741
0.000000	0.181818	0.284232
0.000000	0.166667	0.283119
0.000000	0.151515	0.276984
0.000000	0.136364	0.270548
0.000000	0.121212	0.269062
0.000000	0.106061	0.267723
0.000000	0.090909	0.266586
0.000000	0.075758	0.266183
0.000000	0.060606	0.264159
0.000000	0.045455	0.261562
0.000000	0.030303	0.254406
0.000000	0.015152	0.248177
0.000000	0.000000	0.248166
