x	o	con
1.000000	0.343039	miss
2.000000	0.361388	miss
3.000000	0.370247	miss
4.000000	0.373641	miss
5.000000	0.393306	miss
6.000000	0.454723	miss
7.000000	0.515339	miss
8.000000	0.517452	miss
9.000000	0.638165	hit
10.000000	0.703149	hit
11.000000	0.714372	hit
12.000000	0.751760	hit
13.000000	0.753497	hit
14.000000	0.756525	hit
15.000000	0.782031	hit
16.000000	0.785760	hit
17.000000	0.796169	hit
18.000000	0.824593	hit
19.000000	0.841034	hit
20.000000	0.878747	hit
21.000000	0.946766	hit
22.000000	0.961382	hit
23.000000	0.969060	hit
24.000000	0.972067	hit
25.000000	0.984155	hit
26.000000	0.986056	hit
27.000000	0.990323	hit
28.000000	0.990744	hit
29.000000	0.991865	hit
30.000000	0.993861	hit
31.000000	0.997511	hit
32.000000	0.998183	hit
33.000000	0.999227	hit
34.000000	0.248166	correctreject
35.000000	0.248187	correctreject
36.000000	0.260625	correctreject
37.000000	0.262498	correctreject
38.000000	0.265819	correctreject
39.000000	0.266547	correctreject
40.000000	0.266624	correctreject
41.000000	0.268822	correctreject
42.000000	0.269303	correctreject
43.000000	0.271793	correctreject
44.000000	0.282175	correctreject
45.000000	0.284063	correctreject
46.000000	0.284401	correctreject
47.000000	0.285082	correctreject
48.000000	0.291447	correctreject
49.000000	0.291692	correctreject
50.000000	0.297053	correctreject
51.000000	0.299882	correctreject
52.000000	0.302410	correctreject
53.000000	0.302432	correctreject
54.000000	0.302582	correctreject
55.000000	0.305129	correctreject
56.000000	0.306684	correctreject
57.000000	0.309963	correctreject
58.000000	0.310440	correctreject
59.000000	0.311870	correctreject
60.000000	0.314390	correctreject
61.000000	0.314598	correctreject
62.000000	0.320714	correctreject
63.000000	0.320911	correctreject
64.000000	0.321123	correctreject
65.000000	0.323079	correctreject
66.000000	0.326825	correctreject
67.000000	0.328441	correctreject
68.000000	0.334140	correctreject
69.000000	0.338650	correctreject
70.000000	0.342905	correctreject
71.000000	0.349435	correctreject
72.000000	0.352666	correctreject
73.000000	0.359084	correctreject
74.000000	0.360000	correctreject
75.000000	0.373639	correctreject
76.000000	0.381635	correctreject
77.000000	0.386419	correctreject
78.000000	0.389504	correctreject
79.000000	0.391062	correctreject
80.000000	0.399277	correctreject
81.000000	0.404592	correctreject
82.000000	0.411932	correctreject
83.000000	0.424092	correctreject
84.000000	0.425251	correctreject
85.000000	0.434827	correctreject
86.000000	0.446078	correctreject
87.000000	0.475833	correctreject
88.000000	0.487056	correctreject
89.000000	0.491415	correctreject
90.000000	0.517360	correctreject
91.000000	0.521355	correctreject
92.000000	0.525379	correctreject
93.000000	0.548261	correctreject
94.000000	0.552730	correctreject
95.000000	0.596730	falsealarm
96.000000	0.608563	falsealarm
97.000000	0.615334	falsealarm
98.000000	0.663654	falsealarm
99.000000	0.786002	falsealarm
