x	y	cl
0.302179	0	inlier
-0.578669	0	inlier
0.402280	0	inlier
-0.331372	0	inlier
-0.027173	0	inlier
-1.612773	0	inlier
0.202378	0	inlier
0.286940	0	inlier
1.459405	0	inlier
-0.668641	0	inlier
0.153891	0	inlier
-0.472170	0	inlier
1.770030	0	inlier
-1.192178	0	inlier
-1.832989	0	inlier
0.011609	0	inlier
-0.199332	0	inlier
-0.568830	0	inlier
-0.396150	0	inlier
0.186871	0	inlier
0.004971	0	inlier
-0.341458	0	inlier
0.077496	0	inlier
0.918121	0	inlier
-0.430218	0	inlier
0.733356	0	inlier
1.122954	0	inlier
-0.790622	0	inlier
1.006847	0	inlier
0.152956	0	inlier
-1.235457	0	inlier
2.846507	0	inlier
0.744190	0	inlier
0.405299	0	inlier
-1.284623	0	inlier
0.541644	0	inlier
-0.702033	0	inlier
-0.852372	0	inlier
-0.637521	0	inlier
-1.107773	0	inlier
-0.486059	0	inlier
0.033609	0	inlier
1.098786	0	inlier
-0.602535	0	inlier
0.411304	0	inlier
0.076366	0	inlier
-1.711767	0	inlier
0.752199	0	inlier
-0.223713	0	inlier
-0.837073	0	inlier
-0.462932	0	inlier
0.876088	0	inlier
1.143844	0	inlier
1.230304	0	inlier
2.684306	0	inlier
1.082859	0	inlier
-0.135201	0	inlier
-0.458312	0	inlier
-0.729142	0	inlier
-0.005418	0	inlier
1.278735	0	inlier
-0.502099	0	inlier
0.122773	0	inlier
-0.638313	0	inlier
-1.504794	0	inlier
-1.418940	0	inlier
0.288160	0	inlier
1.192812	0	inlier
1.513130	0	inlier
0.446885	0	inlier
-0.000105	0	inlier
0.254376	0	inlier
0.017942	0	inlier
0.416153	0	inlier
-1.066169	0	inlier
-0.782902	0	inlier
0.184813	0	inlier
-0.340937	0	inlier
-1.880958	0	inlier
-0.170877	0	inlier
-0.712410	0	inlier
-0.020621	0	inlier
-0.700373	0	inlier
-0.530623	0	inlier
1.056789	0	inlier
-0.356080	0	inlier
-0.818374	0	inlier
-0.879635	0	inlier
-0.169212	0	inlier
-0.353347	0	inlier
0.685831	0	inlier
-0.367750	0	inlier
0.768523	0	inlier
1.716445	0	inlier
-1.123915	0	inlier
0.336743	0	inlier
1.145741	0	inlier
-2.669849	0	inlier
-1.335429	0	inlier
0.581690	0	inlier
1.003133	0	inlier
0.653298	0	inlier
-0.411227	0	inlier
-0.800229	0	inlier
-2.233022	0	inlier
-1.120063	0	inlier
-0.231531	0	inlier
2.858056	0	inlier
0.058425	0	inlier
-0.370721	0	inlier
2.060246	0	inlier
0.653849	0	inlier
0.340624	0	inlier
-0.944954	0	inlier
-0.012374	0	inlier
-0.750995	0	inlier
-1.103087	0	inlier
1.212559	0	inlier
-0.018692	0	inlier
-1.130323	0	inlier
-0.913377	0	inlier
1.233394	0	inlier
-1.838162	0	inlier
0.438158	0	inlier
-1.691140	0	inlier
-0.145768	0	inlier
-0.250246	0	inlier
-1.242782	0	inlier
-1.496068	0	inlier
0.062905	0	inlier
-0.533635	0	inlier
0.413347	0	inlier
-0.379222	0	inlier
-0.219142	0	inlier
0.625864	0	inlier
0.038778	0	inlier
-0.704877	0	inlier
-0.755828	0	inlier
1.192519	0	inlier
-0.693147	0	inlier
-1.791094	0	inlier
0.568478	0	inlier
0.142413	0	inlier
-0.862354	0	inlier
-1.675416	0	inlier
2.138979	0	inlier
1.328219	0	inlier
1.381667	0	inlier
-1.104892	0	inlier
0.113330	0	inlier
-0.135692	0	inlier
0.110041	0	inlier
0.494137	0	inlier
-0.172432	0	inlier
-0.369168	0	inlier
0.259347	0	inlier
-0.195948	0	inlier
0.090072	0	inlier
-0.228990	0	inlier
-0.051592	0	inlier
2.435894	0	inlier
-0.838913	0	inlier
0.812321	0	inlier
-0.809152	0	inlier
0.532278	0	inlier
-2.238668	0	inlier
1.831599	0	inlier
-0.061393	0	inlier
-1.502511	0	inlier
-0.010228	0	inlier
-0.263059	0	inlier
0.828425	0	inlier
0.224130	0	inlier
-0.361354	0	inlier
0.782864	0	inlier
-1.180355	0	inlier
-0.474485	0	inlier
-0.205665	0	inlier
0.669002	0	inlier
-0.221963	0	inlier
0.066086	0	inlier
-0.115338	0	inlier
1.432662	0	inlier
0.618417	0	inlier
-1.375346	0	inlier
-0.882961	0	inlier
-1.103826	0	inlier
1.818590	0	inlier
-0.448097	0	inlier
-1.106623	0	inlier
0.981754	0	inlier
-0.815516	0	inlier
0.053941	0	inlier
-0.240953	0	inlier
0.904712	0	inlier
-0.769199	0	inlier
-0.011002	0	inlier
0.579682	0	inlier
1.197370	0	inlier
-0.798051	0	inlier
3.100000	0	outlier
2.900000	0	inlier
-3.562000	0	outlier
