x	y	label
3.000000	0.000000	anomaly
-0.909525	-0.717463	normal
-0.484352	-1.169964	normal
1.247558	-0.156477	normal
0.199887	0.050868	normal
0.047963	-0.096344	normal
-0.915860	-1.135682	normal
-0.055554	0.822619	normal
1.314858	0.225328	normal
0.746562	-0.081133	normal
-1.447548	-0.035638	normal
-0.542110	0.313899	normal
-0.869551	1.216065	normal
0.016633	-0.447197	normal
-0.144483	1.049967	normal
-0.218860	0.516782	normal
-0.811849	-0.216597	normal
-0.346852	-1.054074	normal
0.931566	0.700357	normal
0.138752	0.627394	normal
0.334928	0.798013	normal
-0.917770	-0.182647	normal
0.167435	1.382049	normal
0.121199	-0.096532	normal
-0.107316	0.781434	normal
0.809973	-1.229069	normal
-0.710009	0.612060	normal
-0.051944	0.948107	normal
-0.745489	-0.254117	normal
-0.529588	-0.296423	normal
0.885710	0.920598	normal
0.558462	-0.201183	normal
-1.239398	-0.539937	normal
0.877630	0.379502	normal
0.411602	-0.821778	normal
1.120360	-0.546974	normal
-0.012138	0.302374	normal
0.774469	-1.242208	normal
1.359102	0.257527	normal
0.903733	-0.117894	normal
-0.908686	-0.861966	normal
0.232964	0.419003	normal
0.516692	-0.370391	normal
1.093722	-0.076405	normal
-0.357066	0.330668	normal
-0.627218	0.578176	normal
-0.657871	0.310724	normal
0.088677	0.010703	normal
0.092178	0.428936	normal
0.266401	0.074387	normal
-1.382284	-0.400838	normal
0.960986	-0.665337	normal
-0.948172	-0.753861	normal
1.234544	-0.628808	normal
0.217836	-0.719496	normal
-0.337097	-0.315704	normal
0.020441	0.792922	normal
0.242622	-0.478670	normal
0.250392	1.316540	normal
0.910507	-0.414430	normal
1.499347	0.040442	normal
-0.236582	0.071486	normal
0.140728	-0.478134	normal
0.624641	0.667135	normal
0.292080	0.305295	normal
-1.426897	-0.410436	normal
-0.709579	0.116353	normal
0.886352	0.159506	normal
-0.244442	-0.189523	normal
-1.046069	-0.756217	normal
1.119618	0.153504	normal
-0.927574	0.148391	normal
0.313315	-1.115159	normal
0.106237	0.438218	normal
0.517254	0.140600	normal
-0.138826	0.106393	normal
-0.343086	0.397008	normal
-0.834681	-0.362379	normal
0.476807	-0.225213	normal
0.208724	0.395391	normal
0.198342	0.862074	normal
-0.909832	-0.524033	normal
0.292915	0.238549	normal
0.583010	-0.499376	normal
-1.038031	0.609137	normal
1.156683	0.310087	normal
-0.741181	-1.111315	normal
-0.017062	0.236794	normal
-0.318935	1.229035	normal
0.605804	-1.127416	normal
0.404803	-0.018783	normal
-0.623218	-1.079016	normal
0.399108	-0.415342	normal
0.742148	-1.167726	normal
0.041599	0.020405	normal
0.654284	-0.695203	normal
0.325124	-0.502398	normal
-1.434212	0.358881	normal
-0.804883	-0.405682	normal
0.861768	-0.042606	normal
-0.519513	0.696863	normal
0.555464	0.555271	normal
0.440890	0.528757	normal
0.945897	-0.108535	normal
0.336282	0.841015	normal
-0.243264	0.461974	normal
0.929881	-0.691194	normal
0.223506	-0.605949	normal
-0.787861	-0.263420	normal
1.316002	0.171038	normal
-0.503976	0.720904	normal
0.986296	-0.814327	normal
-1.344084	-0.486215	normal
-0.277511	-0.526128	normal
-0.146433	-0.488571	normal
0.977231	0.441410	normal
-0.048629	-0.559753	normal
-0.058122	-0.469624	normal
-0.417088	0.277340	normal
-0.480764	0.858015	normal
0.624957	-0.990076	normal
0.514038	0.224826	normal
0.528284	0.768083	normal
0.115938	-0.163115	normal
1.423140	0.423318	normal
0.181961	0.688789	normal
0.695974	-0.264089	normal
-0.162580	0.143199	normal
0.604591	0.268640	normal
0.058436	-0.069227	normal
-1.065871	-0.467438	normal
-0.235336	-0.019129	normal
1.001444	0.303382	normal
-0.318380	-1.140664	normal
-0.069812	0.531934	normal
-0.076210	-0.078771	normal
0.084743	-0.386407	normal
0.884319	0.704602	normal
0.054224	-0.501177	normal
0.834606	0.037357	normal
0.784164	0.529860	normal
0.356565	-0.368745	normal
0.660621	-0.533148	normal
0.383086	-0.483991	normal
-0.284710	1.369702	normal
0.309716	0.140143	normal
-0.235106	0.151108	normal
0.538864	1.263060	normal
0.767586	-0.179453	normal
-0.974472	0.144489	normal
-1.247982	0.407095	normal
