x	y	label	cl	con
-3.000000	1.000000	anomaly	outlier	hit
-4.500000	-1.000000	anomaly	outlier	hit
0.797334	0.915721	normal	inlier	correctreject
-0.877956	0.239147	normal	outlier	falsealarm
0.667877	1.063791	normal	inlier	correctreject
-0.295638	-0.817510	normal	inlier	correctreject
-0.533239	-1.264751	normal	inlier	correctreject
-0.026397	-0.940267	normal	inlier	correctreject
-1.157882	-0.529363	normal	inlier	correctreject
0.584632	-1.248664	normal	inlier	correctreject
-0.065803	-0.311518	normal	inlier	correctreject
0.628361	-0.057240	normal	inlier	correctreject
0.147698	-0.463028	normal	inlier	correctreject
1.357126	0.523710	normal	outlier	falsealarm
-0.959127	-0.462546	normal	inlier	correctreject
-1.109175	-0.605530	normal	inlier	correctreject
0.915123	-0.034447	normal	inlier	correctreject
-0.272119	0.232187	normal	inlier	correctreject
-0.154354	-0.015577	normal	inlier	correctreject
-1.079866	0.046230	normal	outlier	falsealarm
0.711772	0.494923	normal	inlier	correctreject
-0.658711	-0.748704	normal	outlier	falsealarm
-0.368057	0.758754	normal	outlier	falsealarm
0.413671	0.020359	normal	inlier	correctreject
0.218644	-0.880244	normal	inlier	correctreject
0.823370	-0.031241	normal	inlier	correctreject
1.124853	0.680037	normal	outlier	falsealarm
0.001359	-1.218029	normal	outlier	falsealarm
-0.199825	0.471103	normal	inlier	correctreject
0.887426	0.233868	normal	inlier	correctreject
0.012627	0.490160	normal	inlier	correctreject
0.483974	-0.799987	normal	inlier	correctreject
0.287778	0.007474	normal	inlier	correctreject
0.550073	0.711140	normal	inlier	correctreject
0.929393	0.443663	normal	inlier	correctreject
-0.747979	0.976507	normal	inlier	correctreject
-0.270965	-0.702429	normal	inlier	correctreject
0.239095	-0.074886	normal	inlier	correctreject
-0.032391	0.875594	normal	inlier	correctreject
-0.153864	0.053633	normal	inlier	correctreject
-0.460659	0.431798	normal	inlier	correctreject
0.057046	0.604557	normal	inlier	correctreject
0.264148	1.062437	normal	outlier	falsealarm
0.474362	0.505299	normal	inlier	correctreject
-0.600532	0.598026	normal	inlier	correctreject
0.062968	1.285455	normal	inlier	correctreject
-1.114281	-0.704694	normal	inlier	correctreject
0.234960	0.721224	normal	inlier	correctreject
-0.059962	0.535392	normal	inlier	correctreject
0.534210	0.537035	normal	inlier	correctreject
-0.645891	1.008152	normal	inlier	correctreject
0.339394	0.594230	normal	inlier	correctreject
0.125213	-0.092865	normal	inlier	correctreject
0.142142	-0.351184	normal	inlier	correctreject
0.472163	0.289696	normal	inlier	correctreject
-0.001253	-0.383207	normal	inlier	correctreject
0.150543	-0.919863	normal	inlier	correctreject
-1.158474	0.394233	normal	inlier	correctreject
1.170010	-0.087183	normal	inlier	correctreject
-0.179789	-1.005878	normal	inlier	correctreject
-0.489881	0.472266	normal	inlier	correctreject
-1.264444	-0.511695	normal	inlier	correctreject
0.525657	-0.410565	normal	inlier	correctreject
0.469223	-0.774744	normal	inlier	correctreject
0.917335	0.549017	normal	inlier	correctreject
0.232716	0.715653	normal	inlier	correctreject
0.396623	-0.783484	normal	inlier	correctreject
-0.345044	-0.423363	normal	outlier	falsealarm
0.425449	-0.904468	normal	inlier	correctreject
-0.211780	-0.890624	normal	inlier	correctreject
1.250099	-0.235460	normal	inlier	correctreject
-0.869368	0.571306	normal	inlier	correctreject
-1.033217	1.038663	normal	outlier	falsealarm
1.067357	-0.053403	normal	inlier	correctreject
-1.147842	0.776388	normal	inlier	correctreject
0.723631	0.306190	normal	inlier	correctreject
-0.491877	-0.017198	normal	inlier	correctreject
-0.096101	1.267706	normal	inlier	correctreject
0.168059	0.540923	normal	inlier	correctreject
-0.791819	-0.155632	normal	outlier	falsealarm
0.106937	0.853524	normal	inlier	correctreject
-0.125107	-0.896511	normal	inlier	correctreject
-0.385764	-1.009550	normal	inlier	correctreject
-0.425517	-1.384822	normal	inlier	correctreject
0.101543	0.371118	normal	inlier	correctreject
-1.168326	-0.276189	normal	outlier	falsealarm
0.854390	-0.816512	normal	inlier	correctreject
-0.617115	-1.160796	normal	inlier	correctreject
0.680423	-0.318000	normal	inlier	correctreject
0.359154	-0.277290	normal	inlier	correctreject
-1.307668	0.482808	normal	inlier	correctreject
0.976601	-0.231836	normal	inlier	correctreject
-0.554968	0.310711	normal	inlier	correctreject
-0.437073	1.061028	normal	inlier	correctreject
0.869030	0.420366	normal	inlier	correctreject
0.469231	-1.153818	normal	inlier	correctreject
0.791164	-0.999951	normal	inlier	correctreject
-0.849306	-0.941699	normal	outlier	falsealarm
-1.424883	-0.155126	normal	outlier	falsealarm
-1.066941	0.665920	normal	inlier	correctreject
-0.622077	0.078934	normal	inlier	correctreject
-1.100620	-0.624239	normal	inlier	correctreject
-5.076894	-1.147387	normal	inlier	correctreject
-5.223072	-1.101887	normal	inlier	correctreject
-5.092715	-0.982049	normal	inlier	correctreject
-4.908139	-0.889923	normal	inlier	correctreject
-5.044513	-0.994469	normal	inlier	correctreject
-4.990938	-1.028391	normal	inlier	correctreject
-4.965918	-1.187939	normal	inlier	correctreject
-5.219015	-1.023926	normal	inlier	correctreject
-5.028954	-1.078996	normal	inlier	correctreject
-4.961950	-0.997091	normal	inlier	correctreject
-4.989326	-1.154184	normal	inlier	correctreject
-5.153843	-1.075999	normal	inlier	correctreject
-5.047916	-0.821144	normal	inlier	correctreject
-4.895410	-1.081425	normal	inlier	correctreject
-4.823185	-1.091711	normal	inlier	correctreject
-4.725484	-1.109551	normal	inlier	correctreject
-5.085918	-1.120556	normal	inlier	correctreject
-5.032007	-0.712474	normal	inlier	correctreject
-5.052534	-0.988852	normal	inlier	correctreject
-5.002210	-1.148528	normal	inlier	correctreject
-4.837753	-1.032771	normal	inlier	correctreject
-4.793548	-1.217364	normal	inlier	correctreject
-5.017563	-1.258488	normal	inlier	correctreject
-4.914572	-0.993354	normal	inlier	correctreject
-4.727038	-1.006754	normal	inlier	correctreject
-5.217299	-1.008046	normal	inlier	correctreject
-4.875829	-0.757434	normal	inlier	correctreject
-5.293077	-1.003086	normal	inlier	correctreject
-5.089991	-0.859134	normal	inlier	correctreject
-5.132781	-1.004504	normal	inlier	correctreject
-4.817307	-0.914931	normal	inlier	correctreject
-5.038111	-0.995874	normal	inlier	correctreject
-4.826246	-0.954989	normal	inlier	correctreject
-4.749829	-0.961350	normal	inlier	correctreject
