x	y	label
3.000000	0.000000	anomaly
-0.289142	-0.131068	normal
1.000422	-0.768632	normal
-1.361373	0.375607	normal
0.177859	-0.112499	normal
0.341199	-0.794345	normal
0.487023	0.155206	normal
0.672969	0.178596	normal
-0.374956	-0.337731	normal
-0.374874	-0.709407	normal
0.878492	-0.866617	normal
-0.998012	0.071481	normal
0.070461	0.155621	normal
-0.290542	-0.182191	normal
-0.778342	0.731016	normal
0.088556	-0.347568	normal
-1.473674	0.234424	normal
-0.803375	-0.293572	normal
0.842577	0.824470	normal
0.049842	0.194133	normal
1.247960	0.297692	normal
0.987096	-0.710125	normal
-0.481117	-0.687674	normal
-1.360795	0.572838	normal
0.027717	0.445218	normal
-0.347808	-1.325959	normal
-0.733649	1.015968	normal
0.254258	-0.160446	normal
0.464392	0.378835	normal
-0.715034	-0.107161	normal
-1.015843	0.212835	normal
-0.176028	0.468064	normal
-1.460904	0.014738	normal
0.110446	-0.037764	normal
-0.768656	0.403809	normal
0.421351	0.305254	normal
-0.725623	-0.999475	normal
-0.271066	-0.354213	normal
0.895400	0.266706	normal
-0.637891	0.111057	normal
-0.451554	1.172855	normal
0.814470	0.462161	normal
0.472788	0.398233	normal
-0.997857	0.203238	normal
-0.704987	0.958683	normal
0.907164	0.486830	normal
0.175538	-0.445904	normal
0.068244	0.325673	normal
0.005916	-0.020098	normal
-1.285451	0.338361	normal
0.755868	0.424331	normal
-0.895769	0.112871	normal
0.290260	-0.720405	normal
0.439663	0.833505	normal
0.503393	-0.566492	normal
-0.610060	-0.999151	normal
-0.353936	0.641267	normal
-0.432100	-0.253950	normal
0.164479	-1.121700	normal
-0.615126	-0.774041	normal
-0.628671	-1.354240	normal
-0.176558	-0.325927	normal
-0.398468	0.628131	normal
0.928355	-1.027546	normal
-0.735626	-0.201942	normal
-0.855995	0.861066	normal
0.860350	-0.129681	normal
0.567824	-0.817772	normal
0.006642	0.288506	normal
-0.599787	-1.131379	normal
1.175231	0.881317	normal
1.131256	-0.944214	normal
-0.368293	-0.951953	normal
0.391097	1.198197	normal
0.477100	-0.356630	normal
-0.621524	-0.008616	normal
0.307786	0.217088	normal
0.039045	0.180191	normal
-0.761705	-0.520516	normal
-0.549915	-0.239582	normal
-0.779441	-0.693015	normal
0.520463	-0.684911	normal
-1.040801	0.932603	normal
0.591865	-1.208551	normal
-0.291609	-0.360786	normal
-0.236180	-1.182369	normal
-0.876779	0.644658	normal
-0.836816	-1.088833	normal
-0.706422	0.545627	normal
0.545688	1.215922	normal
0.221010	-0.599939	normal
-0.394221	1.040080	normal
0.837841	-0.244407	normal
0.238175	0.354524	normal
-0.378730	0.897692	normal
-0.914677	0.252302	normal
-1.371254	-0.514561	normal
-1.298246	-0.687316	normal
0.512022	-1.185465	normal
0.068258	0.982389	normal
0.689424	-0.135347	normal
-0.223781	-1.190040	normal
-0.273730	-0.207310	normal
0.630053	-0.845615	normal
-0.316732	-0.314295	normal
0.241652	1.424280	normal
0.619090	-0.744048	normal
-0.594750	-0.374377	normal
-0.276209	0.424107	normal
1.416600	0.114116	normal
0.318262	1.022337	normal
0.198779	-0.357956	normal
0.966114	0.401318	normal
0.955168	-1.020663	normal
-0.565780	1.133961	normal
0.005644	0.038545	normal
-0.685942	0.230913	normal
0.010842	0.125734	normal
0.559803	0.665377	normal
0.478029	0.687532	normal
0.512118	0.898663	normal
0.200783	-1.150098	normal
1.044971	-0.264180	normal
-0.942594	0.581643	normal
0.238587	0.921029	normal
0.845659	-0.937902	normal
-0.425390	-0.737186	normal
-0.323598	0.179781	normal
-0.548664	-0.131830	normal
-0.416378	-0.251120	normal
0.326858	-0.071760	normal
-0.844070	1.095209	normal
-1.214233	0.489280	normal
0.796695	-0.811525	normal
0.277353	-0.752225	normal
0.143552	-1.325919	normal
0.780401	-0.181481	normal
0.857441	0.131415	normal
0.900825	-0.753688	normal
0.470813	0.321925	normal
-0.414669	-0.647795	normal
-0.064050	0.673263	normal
0.118022	1.273555	normal
-0.061154	-1.039812	normal
-0.831023	0.487950	normal
1.103529	-0.906754	normal
-0.499877	-0.474703	normal
-0.949443	-0.666087	normal
-1.275656	-0.308886	normal
-0.597238	-0.628324	normal
-0.594338	-0.272009	normal
