x	baseline	max	best	g0	g1	g2	g3	g4	0f0	0f10	0f20	1f0	1f10	1f20	2f0	2f10	2f20	3f0	3f10	3f20	4f0	4f10	4f20	5f0	5f10	5f20	6f0	6f10	6f20
0	0.000000	1.000000	-0.996051	-0.666667	-0.333333	0.000000	0.333333	0.666667	-3.706155	-4.241533	-4.241533	-3.592307	-4.241533	-4.241533	-2.952746	-3.900565	-4.905440	-5.895293	-1.921169	-3.848223	-1.858283	-4.241533	-3.384280	-3.848223	-4.357363	-3.848223	-4.163140	-4.241533	-3.848223
1	0.000000	1.000000	-0.925288	-0.666667	-0.333333	0.000000	0.333333	0.666667	-3.592307	-2.847496	-3.706155	-2.952746	-2.111035	-2.111035	-2.728787	-3.848223	-4.358341	-5.846952	-1.589118	-3.563483	-1.790826	-2.111035	-2.111035	-1.919851	-2.847496	-3.592307	-2.620062	-3.848223	-3.384280
2	0.000000	1.000000	-0.864587	-0.666667	-0.333333	0.000000	0.333333	0.666667	-2.531913	-2.111035	-2.620062	-2.531913	-1.589118	-1.749661	-2.620062	-3.384280	-3.563483	-2.129819	-1.587732	-1.845368	-1.555891	-1.921169	-1.764053	-1.764053	-1.587732	-1.919851	-1.535780	-3.384280	-3.284179
3	0.000000	1.000000	-0.827478	-0.666667	-0.333333	0.000000	0.333333	0.666667	-2.042744	-1.980274	-2.111035	-2.469720	-1.555891	-1.589118	-2.469720	-2.130667	-1.921169	-1.749661	-1.368255	-1.790826	-1.535780	-1.897271	-1.368255	-1.535780	-1.368255	-1.764053	-1.516355	-3.284179	-2.130667
4	0.000000	1.000000	-0.807577	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.738609	-1.921169	-1.980274	-2.111035	-1.535780	-1.516355	-2.042744	-2.129819	-1.738609	-1.589118	-1.058035	-1.749661	-1.444579	-1.535780	-1.120671	-1.516355	-1.291828	-1.749661	-1.461903	-2.130667	-2.111035
5	0.000000	1.000000	-0.765590	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.727214	-1.919851	-1.921169	-1.921169	-1.516355	-1.368255	-1.921169	-1.589118	-1.677167	-1.535780	-0.906646	-1.589118	-1.201960	-1.369814	-0.996051	-1.461903	-1.058035	-1.589118	-1.368255	-2.111035	-1.980274
6	0.000000	1.000000	-0.582693	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.703822	-1.764053	-1.727214	-1.749661	-1.368255	-1.291828	-1.899182	-1.535780	-1.640239	-1.461903	-0.902458	-1.461903	-1.097172	-1.368255	-0.895333	-1.444579	-0.996051	-1.461903	-1.067427	-1.921169	-1.921169
7	0.000000	1.000000	-0.481072	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.589118	-1.518827	-1.518827	-1.601497	-1.264414	-1.148953	-1.703822	-1.461903	-1.534777	-1.368255	-0.878140	-1.368255	-1.090749	-1.120671	-0.865535	-1.368255	-0.812022	-1.368255	-0.902458	-1.727214	-1.749661
8	0.000000	1.000000	-0.456942	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.555891	-1.445732	-1.368255	-1.587732	-1.249368	-1.067427	-1.587732	-1.369814	-1.368255	-1.249928	-0.837752	-1.277735	-1.088404	-1.088404	-0.790378	-1.249928	-0.790378	-1.291828	-0.790378	-1.555891	-1.368255
9	0.000000	1.000000	-0.430658	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.518827	-1.404290	-1.170100	-1.535780	-1.148953	-0.895333	-1.535780	-1.368255	-1.291828	-0.908850	-0.779228	-1.249928	-0.665296	-1.085890	-0.782505	-1.067427	-0.782505	-1.148953	-0.768583	-1.369814	-1.249928
10	0.000000	1.000000	-0.420621	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.445732	-1.368255	-1.148953	-1.516355	-1.067427	-0.837752	-1.516355	-1.282015	-1.264414	-0.875486	-0.778518	-1.077042	-0.652925	-1.077042	-0.740889	-0.902458	-0.731908	-1.133763	-0.731908	-1.368255	-1.149770
11	0.000000	1.000000	-0.415298	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.404290	-1.256139	-1.088404	-1.368255	-1.058035	-0.790378	-1.368255	-1.264414	-0.895333	-0.677325	-0.768583	-1.037419	-0.634776	-0.996051	-0.731908	-0.768583	-0.702324	-0.996051	-0.721609	-1.120671	-1.058035
12	0.000000	1.000000	-0.409489	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.368255	-1.170100	-1.058035	-1.088404	-0.837752	-0.782505	-1.264414	-1.097172	-0.875723	-0.665296	-0.712351	-0.895333	-0.549442	-0.902458	-0.706531	-0.731908	-0.687583	-0.895333	-0.631241	-1.085890	-0.996051
13	0.000000	1.000000	-0.376894	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.272135	-1.088404	-0.996051	-1.067427	-0.790378	-0.731908	-1.088404	-0.997671	-0.856600	-0.546330	-0.547722	-0.878140	-0.545627	-0.865535	-0.669232	-0.721609	-0.677325	-0.858789	-0.631026	-1.058035	-0.969994
14	0.000000	1.000000	-0.341696	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.256139	-0.996051	-0.906646	-0.962942	-0.789855	-0.702324	-1.067427	-0.896971	-0.801449	-0.508786	-0.526792	-0.837752	-0.542799	-0.790378	-0.545627	-0.631241	-0.631241	-0.812022	-0.582619	-0.996051	-0.895333
15	0.000000	1.000000	-0.328512	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.170100	-0.906646	-0.875723	-0.902458	-0.731908	-0.669232	-0.902458	-0.812022	-0.731908	-0.500930	-0.519049	-0.790378	-0.519049	-0.782505	-0.526792	-0.546330	-0.547722	-0.790378	-0.545627	-0.865535	-0.887606
16	0.000000	1.000000	-0.314394	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.148953	-0.895333	-0.865535	-0.837752	-0.637881	-0.631241	-0.837752	-0.789855	-0.712351	-0.428133	-0.500930	-0.778518	-0.513389	-0.549442	-0.500930	-0.542799	-0.546330	-0.731908	-0.542799	-0.790378	-0.865535
17	0.000000	1.000000	-0.304041	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.120836	-0.875723	-0.837752	-0.790378	-0.546330	-0.546330	-0.812022	-0.782505	-0.710131	-0.415298	-0.435330	-0.768583	-0.511114	-0.547722	-0.479938	-0.500930	-0.540159	-0.702324	-0.520562	-0.740889	-0.830343
18	0.000000	1.000000	-0.287395	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.088404	-0.875486	-0.830343	-0.768583	-0.542799	-0.542799	-0.710131	-0.702324	-0.677325	-0.395832	-0.428133	-0.712351	-0.479894	-0.546330	-0.430658	-0.404010	-0.537461	-0.687583	-0.511114	-0.702324	-0.812022
19	0.000000	1.000000	-0.252884	-0.666667	-0.333333	0.000000	0.333333	0.666667	-1.036152	-0.865535	-0.827478	-0.731908	-0.540159	-0.540159	-0.706531	-0.582619	-0.637881	-0.338451	-0.404426	-0.634776	-0.451318	-0.545627	-0.415298	-0.396547	-0.500930	-0.669232	-0.500930	-0.669232	-0.790378
20	0.000000	1.000000	-0.245889	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.906646	-0.837752	-0.768583	-0.631241	-0.500930	-0.519049	-0.676070	-0.546330	-0.582619	-0.304041	-0.400527	-0.601760	-0.395832	-0.513389	-0.400527	-0.369086	-0.483312	-0.631241	-0.430658	-0.546330	-0.782505
21	0.000000	1.000000	-0.244658	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.875723	-0.830343	-0.765590	-0.631026	-0.483312	-0.500930	-0.631241	-0.542799	-0.545331	-0.267337	-0.369086	-0.540159	-0.368970	-0.500930	-0.368579	-0.368970	-0.479938	-0.546330	-0.409489	-0.545331	-0.768583
22	0.000000	1.000000	-0.198799	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.875486	-0.827478	-0.749156	-0.540159	-0.463469	-0.483312	-0.631026	-0.500930	-0.479938	-0.219744	-0.368970	-0.526792	-0.368579	-0.479894	-0.290432	-0.368579	-0.459622	-0.540159	-0.369086	-0.544663	-0.761479
23	0.000000	1.000000	-0.159354	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.837752	-0.768583	-0.706531	-0.523202	-0.459622	-0.459622	-0.549442	-0.479938	-0.466795	-0.215359	-0.314394	-0.519049	-0.252884	-0.456942	-0.284062	-0.338451	-0.415298	-0.500930	-0.368579	-0.537461	-0.731908
24	0.000000	1.000000	-0.140145	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.830343	-0.765590	-0.637881	-0.500930	-0.457319	-0.457319	-0.546330	-0.463469	-0.450612	-0.200572	-0.304041	-0.506289	-0.231231	-0.415298	-0.252884	-0.332988	-0.400527	-0.483312	-0.316094	-0.430658	-0.706531
25	0.000000	1.000000	-0.131642	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.827478	-0.712351	-0.626906	-0.430927	-0.441630	-0.441630	-0.545627	-0.427090	-0.421444	-0.194312	-0.303245	-0.500930	-0.220828	-0.368579	-0.238563	-0.316094	-0.398944	-0.459622	-0.274806	-0.415298	-0.669232
26	0.000000	1.000000	-0.129141	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.781132	-0.706531	-0.618319	-0.368579	-0.409546	-0.400527	-0.542799	-0.409546	-0.409546	-0.194256	-0.290432	-0.435330	-0.219744	-0.328137	-0.231231	-0.304041	-0.396547	-0.441630	-0.209556	-0.409546	-0.546330
27	0.000000	1.000000	-0.126097	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.779228	-0.648418	-0.519049	-0.356399	-0.368970	-0.369086	-0.508786	-0.368579	-0.400527	-0.177727	-0.284062	-0.428133	-0.211728	-0.290432	-0.219744	-0.284062	-0.368970	-0.415298	-0.196193	-0.409489	-0.540159
28	0.000000	1.000000	-0.117073	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.765590	-0.637881	-0.479708	-0.341958	-0.368579	-0.368970	-0.506289	-0.301383	-0.341958	-0.172452	-0.267337	-0.400527	-0.196193	-0.238563	-0.211728	-0.257280	-0.368579	-0.400527	-0.167717	-0.400527	-0.537461
29	0.000000	1.000000	-0.115845	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.712351	-0.631026	-0.457319	-0.328568	-0.316094	-0.368579	-0.500930	-0.290432	-0.312490	-0.164113	-0.231231	-0.376713	-0.188912	-0.231231	-0.164113	-0.231231	-0.316094	-0.396547	-0.164113	-0.368579	-0.483312
30	0.000000	1.000000	-0.095882	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.626906	-0.626906	-0.430658	-0.319900	-0.304041	-0.316094	-0.466795	-0.272999	-0.290432	-0.126492	-0.219744	-0.369086	-0.167717	-0.219744	-0.143685	-0.209556	-0.304041	-0.368579	-0.143685	-0.314394	-0.459622
31	0.000000	1.000000	-0.061076	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.549442	-0.618319	-0.427090	-0.316094	-0.252884	-0.290432	-0.428133	-0.252884	-0.260720	-0.125309	-0.215359	-0.338451	-0.165088	-0.211728	-0.131642	-0.196193	-0.290432	-0.328137	-0.125972	-0.301383	-0.416264
32	0.000000	1.000000	-0.023314	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.520225	-0.582619	-0.415298	-0.304041	-0.244658	-0.252884	-0.334010	-0.244658	-0.252884	-0.121849	-0.211728	-0.328137	-0.164113	-0.164113	-0.126528	-0.167717	-0.284062	-0.316094	-0.122054	-0.290432	-0.400527
33	0.000000	1.000000	-0.022518	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.457319	-0.540159	-0.409489	-0.290432	-0.200572	-0.231231	-0.331627	-0.219744	-0.231231	-0.105690	-0.191313	-0.314394	-0.143685	-0.132074	-0.117073	-0.164113	-0.252884	-0.290432	-0.117073	-0.261240	-0.398944
34	0.000000	1.000000	0.006543	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.404010	-0.519049	-0.404010	-0.289677	-0.184260	-0.229433	-0.290432	-0.209591	-0.226842	-0.096154	-0.188912	-0.290432	-0.132074	-0.131642	-0.105690	-0.156861	-0.231231	-0.289677	-0.105690	-0.252884	-0.368579
35	0.000000	1.000000	0.006987	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.379457	-0.479938	-0.376096	-0.284062	-0.182382	-0.209591	-0.257280	-0.184260	-0.219744	-0.090890	-0.177727	-0.284062	-0.122054	-0.126097	-0.104947	-0.132074	-0.201300	-0.284062	-0.096154	-0.231231	-0.301383
36	0.000000	1.000000	0.023624	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.327793	-0.479708	-0.334010	-0.164113	-0.182301	-0.167717	-0.254844	-0.167717	-0.214419	-0.078153	-0.164113	-0.282882	-0.105690	-0.124304	-0.097338	-0.130103	-0.200572	-0.252884	-0.095882	-0.219744	-0.290432
37	0.000000	1.000000	0.036693	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.275583	-0.451059	-0.290432	-0.131642	-0.164113	-0.164113	-0.219744	-0.165088	-0.211728	-0.077138	-0.117073	-0.245889	-0.096154	-0.105690	-0.077138	-0.122054	-0.184260	-0.211728	-0.091799	-0.196021	-0.252884
38	0.000000	1.000000	0.045191	-0.666667	-0.333333	0.000000	0.333333	0.666667	-0.266357	-0.427090	-0.257280	-0.125972	-0.125972	-0.125972	-0.200572	-0.130103	-0.207761	-0.064562	-0.105690	-0.215359	-0.090474	-0.077138	-0.064562	-0.105690	-0.164113	-0.164113	-0.090474	-0.164113	-0.231231
