id,latex,log
1,number-of-normalities,True
2,number-of-anomalies,True
3,dimensionality,True
4,binary-features,False
5,categorical-features,False
6,mean,True
7,std-mean,True
8,std-max,True
9,std-std,True
10,normality-ratio,False
11,kurtosis-mean,True
12,kurtosis-max,True
13,skewness,True
14,eig-max,True
15,eig-min,True
16,eig-max-rel,False
17,number-of-nodes,True
18,number-of-leaves,True
19,nodes-per-class,False
20,nodes-per-data-point,False
21,depth,True
22,width,False
23,shape,False
24,number-of-repeated-nodes,True
25,leaf-corroboration,True
26,impurity,True
27,mean-error,False
28,total-error,True
29,correlation,False
30,euclidean-mean,True
31,euclidean-median,True
32,euclidean-std,True
33,euclidean-kurtosis,True
34,euclidean-skewness,False
35,hardness,False
36,variance-curve,False
