x0	y0f0	y0f10	y0f20	x1	y1f0	y1f10	y1f20	x2	y2f0	y2f10	y2f20	x3	y3f0	y3f10	y3f20	x4	y4f0	y4f10	y4f20	x5	y5f0	y5f10	y5f20	x6	y6f0	y6f10	y6f20	x7	y7f0	y7f10	y7f20	x8	y8f0	y8f10	y8f20	x9	y9f0	y9f10	y9f20	x10	y10f0	y10f10	y10f20	x11	y11f0	y11f10	y11f20	x12	y12f0	y12f10	y12f20	x13	y13f0	y13f10	y13f20	x14	y14f0	y14f10	y14f20	x15	y15f0	y15f10	y15f20	x16	y16f0	y16f10	y16f20	x17	y17f0	y17f10	y17f20
1.900375	0.004174	0.004174	0.004174	-0.658479	0.000000	0.000064	0.000000	-0.850086	0.007972	0.007972	0.007972	-7.482634	0.000000	0.000700	0.000000	-7.482634	0.000000	0.000000	0.000558	-10.920701	0.000001	0.000431	0.000204	-3.692005	0.002061	0.000977	0.000831	-2.919292	0.003018	0.001398	0.001154	-5.096721	0.002357	0.001921	0.003801	-3.435922	0.006329	0.000095	0.000179	-0.347151	0.044411	0.043599	0.043958	-0.284673	0.002369	0.002061	0.002697	-3.071335	0.000073	0.000605	0.000089	-5.560492	0.001006	0.000295	0.000232	-49.733319	0.000000	0.000013	0.000000	-3.896883	0.000058	0.000785	0.003801	0.647457	0.000001	0.018936	0.011783	0.281587	0.000009	0.022209	0.014753
1.922819	0.004716	0.004716	0.004716	-0.632052	0.000000	0.000081	0.000000	-0.815969	0.008840	0.008840	0.008840	-7.455334	0.000000	0.000809	0.000000	-7.455334	0.000000	0.000000	0.000661	-10.859292	0.000001	0.000483	0.000237	-3.654150	0.002342	0.001130	0.000966	-2.884257	0.003292	0.001564	0.001299	-5.060154	0.002598	0.002147	0.004212	-3.423386	0.006858	0.000113	0.000210	-0.333219	0.049613	0.048291	0.048637	-0.254496	0.002858	0.002477	0.003224	-3.045635	0.000094	0.000720	0.000114	-5.491429	0.001097	0.000336	0.000266	-49.503090	0.000000	0.000018	0.000000	-3.882665	0.000071	0.000911	0.004277	0.663925	0.000001	0.021183	0.013083	0.296882	0.000013	0.024863	0.016359
1.945262	0.005308	0.005308	0.005308	-0.605625	0.000000	0.000101	0.000000	-0.781852	0.009769	0.009769	0.009769	-7.428033	0.000000	0.000930	0.000000	-7.428033	0.000000	0.000000	0.000777	-10.797883	0.000001	0.000539	0.000276	-3.616296	0.002654	0.001302	0.001119	-2.849222	0.003583	0.001746	0.001458	-5.023586	0.002857	0.002395	0.004660	-3.410850	0.007417	0.000134	0.000246	-0.319286	0.055175	0.053265	0.053592	-0.224319	0.003429	0.002961	0.003837	-3.019936	0.000120	0.000850	0.000145	-5.422365	0.001192	0.000382	0.000304	-49.272861	0.000000	0.000024	0.000000	-3.868447	0.000087	0.001054	0.004800	0.680394	0.000002	0.023609	0.014483	0.312177	0.000017	0.027733	0.018085
1.967705	0.005951	0.005951	0.005951	-0.579197	0.000000	0.000126	0.000000	-0.747735	0.010758	0.010758	0.010758	-7.400732	0.000000	0.001062	0.000000	-7.400732	0.000000	0.000000	0.000907	-10.736474	0.000001	0.000600	0.000320	-3.578442	0.002996	0.001496	0.001292	-2.814187	0.003892	0.001944	0.001633	-4.987018	0.003135	0.002666	0.005148	-3.398314	0.008003	0.000159	0.000288	-0.305354	0.061082	0.058506	0.058807	-0.194143	0.004093	0.003521	0.004545	-2.994236	0.000153	0.000999	0.000183	-5.353302	0.001293	0.000433	0.000347	-49.042632	0.000000	0.000032	0.000000	-3.854229	0.000105	0.001216	0.005371	0.696862	0.000003	0.026216	0.015982	0.327472	0.000024	0.030821	0.019934
1.990149	0.006647	0.006647	0.006647	-0.552770	0.000000	0.000157	0.000000	-0.713617	0.011807	0.011807	0.011807	-7.373432	0.000000	0.001206	0.000000	-7.373432	0.000000	0.000000	0.001051	-10.675065	0.000002	0.000664	0.000369	-3.540587	0.003371	0.001713	0.001487	-2.779152	0.004219	0.002160	0.001825	-4.950450	0.003433	0.002963	0.005678	-3.385778	0.008618	0.000188	0.000335	-0.291421	0.067317	0.063994	0.064264	-0.163966	0.004860	0.004166	0.005360	-2.968537	0.000194	0.001165	0.000229	-5.284238	0.001399	0.000489	0.000396	-48.812403	0.000000	0.000043	0.000000	-3.840011	0.000128	0.001397	0.005994	0.713330	0.000004	0.029006	0.017583	0.342767	0.000032	0.034131	0.021908
2.012592	0.007396	0.007396	0.007396	-0.526343	0.000000	0.000194	0.000000	-0.679500	0.012914	0.012914	0.012914	-7.346131	0.000000	0.001361	0.000000	-7.346131	0.000000	0.000000	0.001210	-10.613656	0.000002	0.000732	0.000424	-3.502733	0.003781	0.001956	0.001706	-2.744117	0.004566	0.002394	0.002035	-4.913882	0.003749	0.003287	0.006254	-3.373242	0.009260	0.000221	0.000389	-0.277489	0.073852	0.069706	0.069938	-0.133789	0.005743	0.004904	0.006294	-2.942837	0.000245	0.001352	0.000286	-5.215175	0.001510	0.000552	0.000450	-48.582173	0.000001	0.000057	0.000000	-3.825793	0.000154	0.001601	0.006672	0.729798	0.000006	0.031976	0.019285	0.358062	0.000043	0.037661	0.024008
2.035035	0.008200	0.008200	0.008200	-0.499916	0.000000	0.000239	0.000000	-0.645383	0.014078	0.014078	0.014078	-7.318831	0.000000	0.001527	0.000000	-7.318831	0.000000	0.000000	0.001384	-10.552247	0.000003	0.000803	0.000485	-3.464878	0.004227	0.002227	0.001951	-2.709081	0.004931	0.002647	0.002264	-4.877314	0.004087	0.003640	0.006878	-3.360706	0.009929	0.000259	0.000449	-0.263556	0.080657	0.075611	0.075798	-0.103613	0.006752	0.005744	0.007357	-2.917138	0.000306	0.001558	0.000355	-5.146112	0.001627	0.000621	0.000510	-48.351944	0.000001	0.000073	0.000000	-3.811576	0.000185	0.001827	0.007405	0.746266	0.000008	0.035124	0.021089	0.373357	0.000058	0.041409	0.026235
2.057479	0.009058	0.009058	0.009058	-0.473488	0.000000	0.000293	0.000000	-0.611266	0.015297	0.015297	0.015297	-7.291530	0.000000	0.001704	0.000000	-7.291530	0.000000	0.000000	0.001572	-10.490838	0.000004	0.000878	0.000554	-3.427024	0.004710	0.002527	0.002224	-2.674046	0.005317	0.002921	0.002513	-4.840747	0.004445	0.004024	0.007554	-3.348170	0.010625	0.000302	0.000518	-0.249624	0.087691	0.081674	0.081811	-0.073436	0.007901	0.006695	0.008564	-2.891438	0.000381	0.001784	0.000439	-5.077048	0.001750	0.000697	0.000577	-48.121715	0.000001	0.000094	0.000001	-3.797358	0.000221	0.002080	0.008197	0.762735	0.000011	0.038444	0.022994	0.388652	0.000077	0.045371	0.028587
2.079922	0.009970	0.009970	0.009970	-0.447061	0.000000	0.000358	0.000000	-0.577149	0.016569	0.016569	0.016569	-7.264230	0.000000	0.001889	0.000000	-7.264230	0.000001	0.000000	0.001773	-10.429429	0.000005	0.000957	0.000630	-3.389169	0.005231	0.002859	0.002529	-2.639011	0.005725	0.003216	0.002782	-4.804179	0.004825	0.004442	0.008284	-3.335634	0.011346	0.000352	0.000594	-0.235691	0.094908	0.087856	0.087936	-0.043259	0.009203	0.007766	0.009928	-2.865738	0.000471	0.002032	0.000538	-5.007985	0.001878	0.000781	0.000650	-47.891486	0.000002	0.000118	0.000001	-3.783140	0.000263	0.002359	0.009050	0.779203	0.000015	0.041930	0.024996	0.403947	0.000101	0.049540	0.031063
2.102366	0.010934	0.010934	0.010934	-0.420634	0.000000	0.000435	0.000000	-0.543032	0.017892	0.017892	0.017892	-7.236929	0.000000	0.002082	0.000000	-7.236929	0.000001	0.000000	0.001986	-10.368020	0.000006	0.001039	0.000714	-3.351315	0.005792	0.003226	0.002865	-2.603976	0.006154	0.003534	0.003075	-4.767611	0.005226	0.004895	0.009073	-3.323098	0.012091	0.000408	0.000680	-0.221759	0.102257	0.094113	0.094131	-0.013082	0.010672	0.008966	0.011462	-2.840039	0.000578	0.002300	0.000656	-4.938921	0.002013	0.000872	0.000732	-47.661257	0.000003	0.000147	0.000001	-3.768922	0.000312	0.002668	0.009966	0.795671	0.000021	0.045572	0.027095	0.419242	0.000133	0.053906	0.033661
