x0	y0f0	y0f10	y0f20	x1	y1f0	y1f10	y1f20	x2	y2f0	y2f10	y2f20	x3	y3f0	y3f10	y3f20	x4	y4f0	y4f10	y4f20	x5	y5f0	y5f10	y5f20	x6	y6f0	y6f10	y6f20	x7	y7f0	y7f10	y7f20	x8	y8f0	y8f10	y8f20	x9	y9f0	y9f10	y9f20	x10	y10f0	y10f10	y10f20	x11	y11f0	y11f10	y11f20	x12	y12f0	y12f10	y12f20	x13	y13f0	y13f10	y13f20	x14	y14f0	y14f10	y14f20	x15	y15f0	y15f10	y15f20	x16	y16f0	y16f10	y16f20	x17	y17f0	y17f10	y17f20
-2.079332	0.000000	0.001657	0.000000	-7.131553	0.000812	0.000000	0.000000	0.362601	0.000000	0.017652	0.008809	0.222536	0.000000	0.002334	0.000145	-2.324720	0.000000	0.002351	0.000000	-5.519398	0.000000	0.003924	0.002990	0.821958	0.000891	0.000000	0.000006	-4.459359	0.000000	0.009174	0.000000	-11.493586	0.000351	0.000000	0.000000	-9.923917	0.000504	0.000000	0.000000	-5.893918	0.000269	0.000651	0.001347	-2.062049	0.002058	0.000497	0.000333	-2.181233	0.001948	0.000323	0.000159	-2.837310	0.002228	0.000730	0.000699	0.067097	0.003196	0.000492	0.000437	-9.329917	0.000000	0.000327	0.000000	-9.453570	0.000000	0.000156	0.000000	-3.907818	0.008686	0.008014	0.008027
-2.067857	0.000000	0.002001	0.000000	-7.108119	0.001007	0.000000	0.000000	0.374644	0.000000	0.020391	0.010241	0.233703	0.000000	0.002820	0.000194	-2.310045	0.000000	0.002658	0.000000	-5.482706	0.000000	0.004336	0.003315	0.844993	0.001129	0.000000	0.000009	-4.445618	0.000000	0.010048	0.000000	-11.451651	0.000443	0.000000	0.000000	-9.880386	0.000624	0.000000	0.000000	-5.872414	0.000319	0.000745	0.001482	-2.029685	0.002247	0.000565	0.000383	-2.149279	0.002127	0.000372	0.000186	-2.802978	0.002434	0.000827	0.000792	0.080348	0.003984	0.000638	0.000573	-9.290746	0.000000	0.000394	0.000000	-9.419078	0.000000	0.000204	0.000000	-3.893560	0.009451	0.008734	0.008741
-2.056382	0.000000	0.002399	0.000000	-7.084684	0.001238	0.000000	0.000000	0.386688	0.000000	0.023438	0.011847	0.244870	0.000000	0.003389	0.000258	-2.295371	0.000000	0.002993	0.000000	-5.446015	0.000000	0.004773	0.003660	0.868028	0.001419	0.000001	0.000013	-4.431877	0.000000	0.010972	0.000000	-11.409717	0.000553	0.000000	0.000000	-9.836856	0.000766	0.000000	0.000000	-5.850910	0.000378	0.000849	0.001625	-1.997320	0.002448	0.000641	0.000440	-2.117326	0.002317	0.000428	0.000217	-2.768645	0.002655	0.000934	0.000895	0.093598	0.004928	0.000823	0.000746	-9.251576	0.000000	0.000471	0.000000	-9.384586	0.000000	0.000264	0.000000	-3.879302	0.010265	0.009503	0.009503
-2.044907	0.000000	0.002856	0.000000	-7.061250	0.001508	0.000000	0.000000	0.398732	0.000000	0.026807	0.013637	0.256037	0.000000	0.004052	0.000342	-2.280696	0.000000	0.003357	0.000000	-5.409324	0.000000	0.005233	0.004024	0.891063	0.001772	0.000001	0.000019	-4.418136	0.000000	0.011944	0.000000	-11.367782	0.000684	0.000000	0.000000	-9.793325	0.000933	0.000000	0.000000	-5.829406	0.000445	0.000963	0.001775	-1.964956	0.002661	0.000726	0.000503	-2.085372	0.002517	0.000491	0.000253	-2.734313	0.002889	0.001052	0.001009	0.106849	0.006050	0.001055	0.000966	-9.212405	0.000000	0.000559	0.000000	-9.350095	0.000000	0.000338	0.000000	-3.865044	0.011129	0.010321	0.010312
-2.033432	0.000000	0.003376	0.000000	-7.037816	0.001822	0.000000	0.000000	0.410775	0.000000	0.030509	0.015620	0.267204	0.000000	0.004821	0.000449	-2.266022	0.000000	0.003750	0.000000	-5.372632	0.000000	0.005715	0.004405	0.914098	0.002196	0.000002	0.000028	-4.404394	0.000000	0.012962	0.000000	-11.325848	0.000838	0.000000	0.000000	-9.749794	0.001128	0.000000	0.000000	-5.807902	0.000521	0.001087	0.001931	-1.932591	0.002886	0.000819	0.000574	-2.053418	0.002728	0.000561	0.000294	-2.699981	0.003139	0.001183	0.001134	0.120100	0.007370	0.001344	0.001243	-9.173235	0.000000	0.000658	0.000000	-9.315603	0.000000	0.000428	0.000000	-3.850787	0.012044	0.011189	0.011171
-2.021957	0.000000	0.003963	0.000001	-7.014381	0.002181	0.000000	0.000000	0.422819	0.000000	0.034552	0.017806	0.278370	0.000000	0.005708	0.000586	-2.251347	0.000000	0.004173	0.000000	-5.335941	0.000000	0.006217	0.004803	0.937132	0.002703	0.000003	0.000041	-4.390653	0.000000	0.014023	0.000000	-11.283913	0.001018	0.000000	0.000000	-9.706263	0.001353	0.000000	0.000000	-5.786398	0.000606	0.001222	0.002092	-1.900226	0.003124	0.000921	0.000653	-2.021465	0.002949	0.000639	0.000340	-2.665649	0.003405	0.001326	0.001273	0.133351	0.008912	0.001700	0.001589	-9.134064	0.000000	0.000769	0.000000	-9.281112	0.000000	0.000536	0.000000	-3.836529	0.013012	0.012108	0.012080
-2.010481	0.000000	0.004620	0.000001	-6.990947	0.002588	0.000000	0.000000	0.434862	0.000000	0.038940	0.020199	0.289537	0.000000	0.006727	0.000760	-2.236673	0.000000	0.004625	0.000000	-5.299249	0.000000	0.006737	0.005214	0.960167	0.003304	0.000004	0.000059	-4.376912	0.000000	0.015126	0.000000	-11.241978	0.001226	0.000000	0.000000	-9.662733	0.001610	0.000000	0.000000	-5.764894	0.000702	0.001367	0.002258	-1.867862	0.003375	0.001033	0.000741	-1.989511	0.003181	0.000727	0.000392	-2.631317	0.003687	0.001484	0.001426	0.146601	0.010698	0.002138	0.002020	-9.094894	0.000000	0.000891	0.000000	-9.246620	0.000000	0.000664	0.000000	-3.822271	0.014033	0.013080	0.013041
-1.999006	0.000000	0.005348	0.000001	-6.967512	0.003045	0.000000	0.000000	0.446906	0.000001	0.043673	0.022803	0.300704	0.000000	0.007891	0.000978	-2.221998	0.000000	0.005106	0.000000	-5.262558	0.000000	0.007272	0.005637	0.983202	0.004010	0.000006	0.000083	-4.363171	0.000000	0.016265	0.000000	-11.200044	0.001462	0.000000	0.000000	-9.619202	0.001900	0.000000	0.000000	-5.743390	0.000809	0.001522	0.002427	-1.835497	0.003639	0.001157	0.000838	-1.957558	0.003423	0.000824	0.000451	-2.596984	0.003986	0.001658	0.001593	0.159852	0.012748	0.002672	0.002551	-9.055723	0.000000	0.001026	0.000000	-9.212129	0.000000	0.000814	0.000000	-3.808013	0.015108	0.014106	0.014055
-1.987531	0.000000	0.006146	0.000002	-6.944078	0.003550	0.000000	0.000000	0.458950	0.000001	0.048743	0.025621	0.311871	0.000000	0.009215	0.001250	-2.207324	0.000000	0.005616	0.000000	-5.225866	0.000000	0.007820	0.006069	1.006237	0.004834	0.000010	0.000116	-4.349430	0.000000	0.017436	0.000000	-11.158109	0.001729	0.000000	0.000000	-9.575671	0.002225	0.000000	0.000000	-5.721885	0.000928	0.001687	0.002599	-1.803133	0.003917	0.001291	0.000946	-1.925604	0.003676	0.000932	0.000517	-2.562652	0.004303	0.001848	0.001777	0.173103	0.015083	0.003320	0.003203	-9.016553	0.000000	0.001171	0.000000	-9.177637	0.000000	0.000987	0.000000	-3.793755	0.016236	0.015185	0.015121
-1.976056	0.000000	0.007015	0.000002	-6.920644	0.004103	0.000000	0.000000	0.470993	0.000002	0.054142	0.028651	0.323037	0.000000	0.010715	0.001588	-2.192649	0.000000	0.006154	0.000000	-5.189175	0.000000	0.008376	0.006507	1.029272	0.005787	0.000015	0.000162	-4.335689	0.000000	0.018635	0.000000	-11.116174	0.002026	0.000000	0.000000	-9.532141	0.002586	0.000000	0.000000	-5.700381	0.001059	0.001861	0.002772	-1.770768	0.004209	0.001437	0.001064	-1.893651	0.003940	0.001051	0.000591	-2.528320	0.004640	0.002055	0.001978	0.186353	0.017722	0.004099	0.003998	-8.977383	0.000000	0.001328	0.000000	-9.143145	0.000000	0.001183	0.000000	-3.779498	0.017419	0.016318	0.016241
