x0	y0f0	y0f10	y0f20	x1	y1f0	y1f10	y1f20	x2	y2f0	y2f10	y2f20	x3	y3f0	y3f10	y3f20	x4	y4f0	y4f10	y4f20	x5	y5f0	y5f10	y5f20	x6	y6f0	y6f10	y6f20	x7	y7f0	y7f10	y7f20	x8	y8f0	y8f10	y8f20	x9	y9f0	y9f10	y9f20	x10	y10f0	y10f10	y10f20	x11	y11f0	y11f10	y11f20	x12	y12f0	y12f10	y12f20	x13	y13f0	y13f10	y13f20	x14	y14f0	y14f10	y14f20	x15	y15f0	y15f10	y15f20	x16	y16f0	y16f10	y16f20	x17	y17f0	y17f10	y17f20
-301.050000	0.000030	0.000030	0.000030	-72.400000	0.000000	0.000160	0.001083	-490.800000	0.000202	0.000202	0.000202	-0.070952	0.652327	1.454759	1.513040	-0.100000	1.663272	1.701078	1.743079	-287.078558	0.000000	0.000000	0.000000	-79.821883	0.000027	0.000036	0.000040	-79.750160	0.000307	0.000354	0.000373	-13.781488	0.003305	0.003834	0.003999	-0.100000	0.126904	0.027553	0.026176	-3.218537	0.001127	0.001125	0.001000	-292.274511	0.000007	0.000009	0.000010	-5.214922	0.000226	0.000286	0.000406	-63963.353607	0.000000	0.000000	0.000000	-63963.377258	0.000000	0.000000	0.000000	-0.068169	0.073494	0.086815	0.100020	-14.268000	0.000099	0.000119	0.000761	-6.634000	0.000198	0.000238	0.001523
-288.498161	0.000040	0.000040	0.000040	-69.494314	0.000000	0.000207	0.001169	-471.062207	0.000235	0.000235	0.000235	-0.068105	0.820149	1.689562	1.750282	-0.095987	1.799475	1.845067	1.890708	-284.685230	0.000000	0.000000	0.000000	-76.615761	0.000043	0.000057	0.000062	-76.544299	0.000401	0.000456	0.000479	-13.228384	0.004095	0.004682	0.004864	-0.095987	0.133815	0.029916	0.028381	-3.089365	0.001460	0.001447	0.001300	-280.480394	0.000012	0.000014	0.000015	-5.002098	0.000349	0.000427	0.000597	-61396.261629	0.000000	0.000000	0.000000	-61396.285194	0.000000	0.000000	0.000000	-0.064272	0.079609	0.093505	0.107139	-13.579786	0.000133	0.000169	0.000917	-6.289893	0.000266	0.000337	0.001834
-275.946321	0.000053	0.000053	0.000053	-66.588629	0.000000	0.000266	0.001260	-451.324415	0.000271	0.000271	0.000271	-0.065257	1.021555	1.950341	2.012739	-0.091973	1.940695	1.994751	2.044167	-282.291903	0.000000	0.000000	0.000000	-73.409638	0.000069	0.000088	0.000096	-73.338438	0.000519	0.000582	0.000608	-12.675281	0.005031	0.005673	0.005870	-0.091973	0.140970	0.032444	0.030737	-2.960193	0.001874	0.001841	0.001671	-268.686277	0.000019	0.000022	0.000024	-4.789274	0.000530	0.000630	0.000867	-58829.169652	0.000000	0.000000	0.000000	-58829.193130	0.000000	0.000000	0.000000	-0.060374	0.086090	0.100537	0.114575	-12.891572	0.000177	0.000236	0.001098	-5.945786	0.000353	0.000472	0.002197
-263.394482	0.000070	0.000070	0.000070	-63.682943	0.000000	0.000339	0.001355	-431.586622	0.000311	0.000311	0.000311	-0.062410	1.260587	2.237695	2.300855	-0.087960	2.086405	2.149586	2.202892	-279.898576	0.000000	0.000000	0.000000	-70.203516	0.000108	0.000135	0.000145	-70.132577	0.000665	0.000736	0.000765	-12.122178	0.006128	0.006819	0.007029	-0.087960	0.148368	0.035144	0.033251	-2.831021	0.002380	0.002320	0.002126	-256.892160	0.000030	0.000034	0.000037	-4.576449	0.000792	0.000916	0.001241	-56262.077674	0.000001	0.000000	0.000000	-56262.101066	0.000000	0.000000	0.000000	-0.056477	0.092948	0.107912	0.122327	-12.203358	0.000233	0.000327	0.001308	-5.601679	0.000466	0.000653	0.002617
-250.842642	0.000090	0.000090	0.000090	-60.777258	0.000000	0.000427	0.001455	-411.848829	0.000355	0.000355	0.000355	-0.059562	1.541084	2.551794	2.614650	-0.083946	2.235997	2.308933	2.366225	-277.505249	0.000000	0.000000	0.000000	-66.997393	0.000166	0.000202	0.000216	-66.926716	0.000842	0.000920	0.000952	-11.569075	0.007401	0.008131	0.008352	-0.083946	0.156010	0.038025	0.035930	-2.701849	0.002991	0.002894	0.002677	-245.098043	0.000046	0.000051	0.000055	-4.363625	0.001167	0.001314	0.001754	-53694.985697	0.000001	0.000001	0.000000	-53695.009002	0.000000	0.000000	0.000000	-0.052580	0.100191	0.115634	0.130397	-11.515144	0.000305	0.000447	0.001550	-5.257572	0.000611	0.000894	0.003100
-238.290803	0.000115	0.000115	0.000115	-57.871572	0.000000	0.000535	0.001558	-392.111037	0.000402	0.000402	0.000402	-0.056714	1.866478	2.892311	2.953664	-0.079933	2.388778	2.472063	2.533409	-275.111921	0.000000	0.000000	0.000000	-63.791270	0.000250	0.000297	0.000315	-63.720855	0.001054	0.001139	0.001174	-11.015972	0.008864	0.009620	0.009847	-0.079933	0.163893	0.041094	0.038782	-2.572677	0.003722	0.003574	0.003336	-233.303926	0.000069	0.000076	0.000081	-4.150801	0.001693	0.001859	0.002447	-51127.893719	0.000001	0.000001	0.000001	-51127.916939	0.000000	0.000000	0.000000	-0.048683	0.107827	0.123703	0.138780	-10.826930	0.000397	0.000604	0.001826	-4.913465	0.000793	0.001209	0.003653
-225.738963	0.000146	0.000146	0.000146	-54.965886	0.000000	0.000663	0.001665	-372.373244	0.000453	0.000453	0.000453	-0.053867	2.239563	3.258366	3.316899	-0.075920	2.543979	2.638156	2.703595	-272.718594	0.000001	0.000000	0.000000	-60.585148	0.000369	0.000429	0.000453	-60.514994	0.001307	0.001397	0.001433	-10.462868	0.010525	0.011292	0.011521	-0.075920	0.172017	0.044360	0.041815	-2.443505	0.004584	0.004370	0.004114	-221.509809	0.000103	0.000111	0.000118	-3.937976	0.002422	0.002596	0.003368	-48560.801741	0.000001	0.000001	0.000001	-48560.824875	0.000000	0.000000	0.000000	-0.044785	0.115861	0.132119	0.147475	-10.138716	0.000511	0.000808	0.002141	-4.569358	0.001022	0.001616	0.004281
-213.187124	0.000183	0.000183	0.000183	-52.060201	0.000000	0.000815	0.001777	-352.635452	0.000508	0.000508	0.000508	-0.051019	2.662244	3.648468	3.702778	-0.071906	2.700758	2.806309	2.875849	-270.325267	0.000001	0.000000	0.000000	-57.379025	0.000534	0.000609	0.000638	-57.309134	0.001603	0.001695	0.001733	-9.909765	0.012392	0.013150	0.013375	-0.071906	0.180380	0.047831	0.045036	-2.314333	0.005589	0.005292	0.005022	-209.715692	0.000149	0.000159	0.000168	-3.725152	0.003413	0.003576	0.004574	-45993.709764	0.000002	0.000001	0.000001	-45993.732811	0.000000	0.000000	0.000000	-0.040888	0.124301	0.140881	0.156480	-9.450502	0.000653	0.001067	0.002496	-4.225251	0.001306	0.002134	0.004991
-200.635284	0.000227	0.000227	0.000227	-49.154515	0.000000	0.000993	0.001891	-332.897659	0.000566	0.000566	0.000566	-0.048172	3.135289	4.060483	4.109111	-0.067893	2.858207	2.975542	3.049154	-267.931939	0.000002	0.000000	0.000000	-54.172903	0.000757	0.000848	0.000883	-54.103273	0.001945	0.002037	0.002075	-9.356662	0.014468	0.015193	0.015407	-0.067893	0.188979	0.051514	0.048452	-2.185161	0.006749	0.006346	0.006068	-197.921575	0.000213	0.000223	0.000235	-3.512328	0.004740	0.004860	0.006132	-43426.617786	0.000002	0.000002	0.000002	-43426.640747	0.000000	0.000000	0.000000	-0.036991	0.133150	0.149988	0.165789	-8.762288	0.000828	0.001394	0.002894	-3.881144	0.001656	0.002788	0.005789
-188.083445	0.000280	0.000280	0.000280	-46.248829	0.000000	0.001200	0.002009	-313.159866	0.000627	0.000627	0.000627	-0.045324	3.658083	4.491611	4.533083	-0.063880	3.015357	3.144802	3.222420	-265.538612	0.000003	0.000000	0.000000	-50.966780	0.001055	0.001160	0.001200	-50.897412	0.002336	0.002423	0.002459	-8.803559	0.016748	0.017415	0.017612	-0.063880	0.197811	0.055418	0.052071	-2.055989	0.008069	0.007537	0.007257	-186.127459	0.000298	0.000308	0.000322	-3.299503	0.006486	0.006519	0.008112	-40859.525809	0.000003	0.000002	0.000002	-40859.548683	0.000001	0.000001	0.000000	-0.033094	0.142413	0.159436	0.175399	-8.074074	0.001042	0.001800	0.003339	-3.537037	0.002084	0.003600	0.006678
