x0	y0f0	y0f10	y0f20	x1	y1f0	y1f10	y1f20	x2	y2f0	y2f10	y2f20	x3	y3f0	y3f10	y3f20	x4	y4f0	y4f10	y4f20	x5	y5f0	y5f10	y5f20	x6	y6f0	y6f10	y6f20	x7	y7f0	y7f10	y7f20	x8	y8f0	y8f10	y8f20	x9	y9f0	y9f10	y9f20	x10	y10f0	y10f10	y10f20	x11	y11f0	y11f10	y11f20	x12	y12f0	y12f10	y12f20	x13	y13f0	y13f10	y13f20	x14	y14f0	y14f10	y14f20	x15	y15f0	y15f10	y15f20	x16	y16f0	y16f10	y16f20	x17	y17f0	y17f10	y17f20
-0.107290	0.000004	0.000527	0.001221	-0.047658	0.052514	0.006969	0.009186	-1.766000	0.000035	0.000059	0.000099	-0.851000	0.000004	0.000016	0.000027	-0.390842	0.000000	0.008868	0.003070	-9.342000	0.000910	0.000159	0.002846	-121.125486	0.000008	0.000000	0.000000	-0.032077	0.000000	0.197752	0.055645	-0.020261	0.023242	0.264880	0.173324	-0.744190	0.000781	0.002216	0.020747	-0.097116	0.288824	0.172078	0.196863	-90.240692	0.000348	0.000372	0.000382	-71.541420	0.000505	0.000529	0.000544	-71.369798	0.000410	0.000475	0.000495	-2.403769	0.000009	0.000022	0.000047	-1.390925	0.005585	0.003401	0.002352	-0.050000	0.185797	0.171557	0.320230	-0.068484	0.252164	0.274596	0.294171
-0.096306	0.000006	0.000732	0.001547	-0.045688	0.063297	0.009483	0.012252	-1.617264	0.000051	0.000095	0.000147	-0.750625	0.000006	0.000027	0.000042	-0.369497	0.000000	0.010329	0.003586	-8.967070	0.001184	0.000253	0.003517	-116.102176	0.000013	0.000000	0.000000	-0.030136	0.000000	0.210064	0.060404	-0.019448	0.035509	0.311867	0.204991	-0.714323	0.001248	0.003242	0.025177	-0.093219	0.321593	0.201213	0.229845	-86.607558	0.000437	0.000463	0.000474	-68.660147	0.000623	0.000650	0.000666	-68.499927	0.000525	0.000598	0.000622	-2.247588	0.000016	0.000038	0.000077	-1.370965	0.006689	0.004047	0.002846	-0.047993	0.199400	0.198394	0.358016	-0.064585	0.269791	0.291726	0.310949
-0.085322	0.000009	0.001004	0.001950	-0.043717	0.075953	0.012785	0.016193	-1.468528	0.000073	0.000149	0.000214	-0.650251	0.000010	0.000044	0.000065	-0.348153	0.000000	0.011980	0.004173	-8.592140	0.001527	0.000397	0.004314	-111.078867	0.000021	0.000000	0.000000	-0.028194	0.000000	0.222895	0.065426	-0.018635	0.053356	0.365078	0.241065	-0.684455	0.001961	0.004682	0.030368	-0.089321	0.356733	0.233976	0.266972	-82.974424	0.000543	0.000571	0.000584	-65.778873	0.000763	0.000791	0.000809	-65.630056	0.000665	0.000748	0.000774	-2.091406	0.000029	0.000065	0.000125	-1.351005	0.007971	0.004794	0.003427	-0.045987	0.213731	0.228565	0.399197	-0.060687	0.288147	0.309458	0.328235
-0.074338	0.000012	0.001362	0.002443	-0.041747	0.090737	0.017081	0.021205	-1.319793	0.000104	0.000231	0.000309	-0.549876	0.000014	0.000073	0.000099	-0.326809	0.000000	0.013835	0.004840	-8.217211	0.001954	0.000612	0.005252	-106.055557	0.000033	0.000000	0.000000	-0.026253	0.000000	0.236253	0.070712	-0.017822	0.078851	0.424925	0.281886	-0.654588	0.003031	0.006671	0.036411	-0.085424	0.394235	0.270577	0.308512	-79.341290	0.000669	0.000700	0.000714	-62.897600	0.000927	0.000956	0.000975	-62.760186	0.000835	0.000926	0.000955	-1.935225	0.000053	0.000108	0.000200	-1.331045	0.009452	0.005652	0.004106	-0.043980	0.228807	0.262342	0.443940	-0.056789	0.307215	0.327774	0.346013
-0.063354	0.000018	0.001825	0.003043	-0.039777	0.107921	0.022617	0.027518	-1.171057	0.000147	0.000350	0.000440	-0.449502	0.000022	0.000117	0.000148	-0.305464	0.000000	0.015910	0.005594	-7.842281	0.002480	0.000925	0.006344	-101.032247	0.000051	0.000000	0.000000	-0.024312	0.000000	0.250140	0.076259	-0.017009	0.114615	0.491776	0.327772	-0.624721	0.004605	0.009380	0.043396	-0.081526	0.434065	0.311195	0.354714	-75.708156	0.000818	0.000850	0.000864	-60.016327	0.001116	0.001146	0.001165	-59.890315	0.001038	0.001136	0.001167	-1.779044	0.000093	0.000176	0.000315	-1.311084	0.011151	0.006633	0.004894	-0.041973	0.244642	0.299997	0.492403	-0.052890	0.326977	0.346655	0.364260
-0.052371	0.000026	0.002419	0.003771	-0.037807	0.127799	0.029682	0.035388	-1.022321	0.000205	0.000523	0.000618	-0.349127	0.000032	0.000186	0.000219	-0.284120	0.000000	0.018219	0.006443	-7.467351	0.003120	0.001375	0.007606	-96.008937	0.000078	0.000000	0.000000	-0.022370	0.000000	0.264560	0.082066	-0.016195	0.163869	0.565934	0.379009	-0.594854	0.006881	0.013017	0.051415	-0.077628	0.476160	0.355973	0.405792	-72.075022	0.000991	0.001023	0.001038	-57.135053	0.001334	0.001363	0.001383	-57.020444	0.001278	0.001381	0.001414	-1.622863	0.000161	0.000283	0.000488	-1.291124	0.013090	0.007749	0.005804	-0.039967	0.261252	0.341801	0.544732	-0.048992	0.347408	0.366077	0.382953
-0.041387	0.000037	0.003171	0.004648	-0.035837	0.150683	0.038611	0.045103	-0.873585	0.000283	0.000768	0.000856	-0.248753	0.000048	0.000289	0.000319	-0.262776	0.000000	0.020778	0.007395	-7.092421	0.003892	0.002007	0.009050	-90.985627	0.000117	0.000000	0.000000	-0.020429	0.000000	0.279514	0.088126	-0.015382	0.230460	0.647632	0.435844	-0.564987	0.010113	0.017831	0.060557	-0.073731	0.520434	0.405014	0.461925	-68.441888	0.001190	0.001221	0.001236	-54.253780	0.001582	0.001609	0.001629	-54.150574	0.001558	0.001664	0.001698	-1.466682	0.000272	0.000447	0.000743	-1.271164	0.015290	0.009012	0.006849	-0.037960	0.278649	0.388018	0.601059	-0.045093	0.368481	0.386012	0.402064
-0.030403	0.000051	0.004112	0.005698	-0.033866	0.176903	0.049787	0.056976	-0.724849	0.000386	0.001107	0.001170	-0.148378	0.000069	0.000441	0.000459	-0.241431	0.000000	0.023598	0.008459	-6.717492	0.004815	0.002877	0.010687	-85.962318	0.000173	0.000000	0.000000	-0.018488	0.000000	0.295004	0.094432	-0.014569	0.318831	0.737010	0.498470	-0.535120	0.014622	0.024109	0.070908	-0.069833	0.566771	0.458366	0.523246	-64.808754	0.001417	0.001446	0.001461	-51.372506	0.001861	0.001885	0.001903	-51.280703	0.001881	0.001987	0.002021	-1.310501	0.000450	0.000693	0.001116	-1.251204	0.017773	0.010434	0.008042	-0.035953	0.296845	0.438904	0.661503	-0.041195	0.390161	0.406432	0.421564
-0.019419	0.000072	0.005276	0.006948	-0.031896	0.206802	0.063644	0.071344	-0.576114	0.000523	0.001571	0.001578	-0.048003	0.000100	0.000660	0.000649	-0.220087	0.000000	0.026692	0.009642	-6.342562	0.005906	0.004052	0.012525	-80.939008	0.000250	0.000000	0.000000	-0.016547	0.000000	0.311030	0.100977	-0.013756	0.433928	0.834114	0.567024	-0.505253	0.020799	0.032180	0.082546	-0.065935	0.615028	0.516028	0.589837	-61.175620	0.001672	0.001698	0.001712	-48.491233	0.002171	0.002191	0.002208	-48.410833	0.002249	0.002350	0.002384	-1.154320	0.000728	0.001056	0.001648	-1.231244	0.020559	0.012026	0.009395	-0.033946	0.315849	0.494702	0.726161	-0.037297	0.412411	0.427301	0.441422
-0.008435	0.000100	0.006701	0.008429	-0.029926	0.240735	0.080663	0.088561	-0.427378	0.000701	0.002192	0.002101	0.052371	0.000143	0.000972	0.000905	-0.198743	0.000000	0.030072	0.010953	-5.967632	0.007185	0.005607	0.014569	-75.915698	0.000356	0.000000	0.000000	-0.014605	0.000000	0.327588	0.107751	-0.012943	0.581027	0.938874	0.641573	-0.475385	0.029112	0.042406	0.095540	-0.062038	0.665037	0.577938	0.661722	-57.542487	0.001956	0.001977	0.001989	-45.609959	0.002514	0.002527	0.002541	-45.540962	0.002664	0.002755	0.002787	-0.998139	0.001155	0.001584	0.002399	-1.211284	0.023665	0.013800	0.010922	-0.031940	0.335669	0.555641	0.795112	-0.033398	0.435190	0.448582	0.461601
